signalID,zoneGroup,zone,corridor,subcorridor,agency,mainStreetName,sideStreetName,milepost,asOf,duplicate,include,modified,note,county,city,latitude,longitude,priority,classification
"7639","Western Metro","District 7","SR 3S","7003005 - Old Dixie","Clayton County","SR 3 / US 41 / US 19 / Old Dixie Rd","Penney Road / Cash Memorial Blvd","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.60724,-84.38107,"Neutral","Progression"
"7640","Western Metro","District 7","SR 3S","7003005 - Old Dixie","Clayton County","SR 3 / US 41 / US 19 / Old Dixie Rd","First St / Barnett Rd / Springdale Rd","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.61536,-84.38323,"Neutral","Progression"
"7641","Western Metro","District 7","SR 3S","7003005 - Old Dixie","Clayton County","SR 331 / Forest Pkwy","SR 3 / US 41 / US 19 / Old Dixie Rd","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.61987,-84.38329,"Neutral","Progression"
"7642","Western Metro","District 7","SR 3S","7003005 - Old Dixie","Clayton County","SR 3 / US 41 / US 19 / Old Dixie Rd","Central Ave / Old Dixie Hwy","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.62381,-84.38423,"High","Progression"
"7643","Western Metro","District 7","SR 3S","7003005 - Old Dixie","Clayton County","SR 3 / US 41 / US 19 / Old Dixie Rd","Southpoint Dr","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.62956,-84.38535,"Neutral","Progression"
"7644","Western Metro","District 7","SR 3S","7003005 - Old Dixie","Clayton County","SR 3 / US 41 / US 19 / Old Dixie Rd","I-285 EB","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.63117,-84.387,"High","Progression"
"7645","Western Metro","District 7","SR 3S","7003005 - Old Dixie","Clayton County","SR 3 / US 41 / US 19 / Old Dixie Rd","I-285 WB","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.6331,-84.38895,"High","Progression"
"7646","Western Metro","District 7","SR 3S","7003005 - Old Dixie","Clayton County","SR 3 / US 41 / US 19 / Old Dixie Rd","Charles W Grant Pkwy","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.64031,-84.38796,"Neutral","Progression"
"7630","Western Metro","District 7","SR 3S","7003006 - Tara North","Clayton County","SR 3 / US 19 / US 41 / Tara Blvd","Mt Zion Rd / Parkwood Way","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.57305,-84.3718,"High","Progression"
"7631","Western Metro","District 7","SR 3S","7003006 - Tara North","Clayton County","SR 3 / US 19 / US 41 / Old Dixie Rd","Arrowhead / Tara Blvd","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.57893,-84.37402,"High","Progression"
"7632","Western Metro","District 7","SR 3S","7003006 - Tara North","Clayton County","SR 3 / US 19 / US 41 / Old Dixie Rd","Holiday Blvd","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.57969,-84.37417,"High","Progression"
"7633","Western Metro","District 7","SR 3S","7003006 - Tara North","Clayton County","SR 3 / US 19 / US 41 / Old Dixie Rd","Upper Riverdale Rd","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.58387,-84.37763,"High","Progression"
"7634","Western Metro","District 7","SR 3S","7003006 - Tara North","Clayton County","Tara Blvd","Upper Riverdale Rd","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.58312,-84.3779,"Neutral","Progression"
"7620","Western Metro","District 7","SR 3S","7003007 - Tara Middle","Clayton County","SR 3 / US 19 / US 41 / Tara Blvd","Poston Rd","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.5052,-84.35273,"High","Progression"
"7621","Western Metro","District 7","SR 3S","7003007 - Tara Middle","Clayton County","SR 3 / US 19 / US 41 / Tara Blvd","Justice Center / Deputy Rick Daly Memorial Blvd / Post Way","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.50883,-84.35635,"High","Progression"
